,Construction_Notes,From,District,Permit,Work_Schedule,Contractor,Trench_Length,To,Roadway_Plates_In_Use,Address_1,Address_2,Status,ExpirationDate,Intersection,Permittee,Sidewalk_Plates_In_Use,Project_Category,Estimated_Completion_Date,NumberOfWorkZones,Contact_Number,Neighborhood,Street,_id
0,INSTALLATION OF SEWER AND DRAIN MAINS,DUDLEY ST,10B,EXCA-1363916,Days & Weekends,RJV Construction,635,WINTHROP ST,4,3,,PLATES RECESSED,2023-03-30 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-03-30 00:00:00,1,617-989-7000,ROXBURY,BLUE HILL AV,1
1,INSTALLATION OF GAS MAIN,,10B,EXCA-1181382,Days & Weekends,Feeney Brothers Excavation,713,,,73,131,ONGOING SECTIONS TOPPED TO GRADE,2022-12-23 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2022-12-23 00:00:00,1,877-304-1203,ROXBURY,WALNUT AV,2
2,INSTALLATION OF GAS MAIN,,10B,EXCA-1391742,Days & Weekends,Feeney Brothers Excavation,915,,,541,618,ONGOING SECTIONS TOPPED TO GRADE,2023-03-17 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-17 00:00:00,1,877-304-1203,ROXBURY,SHAWMUT AV,3
3,INSTALLATION OF DRAIN MAIN,,10B,EXCA-1422223,Days & Weekends,RJV Construction,75,,,111,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-01-20 00:00:00,1,617-989-7000,ROXBURY,WINTHROP ST,4
4,,,10B,EXCA-1406360,Days & Weekends,Keash Excavation,,,2,100,,PLATES PINNED & BERMED,2023-01-20 00:00:00,,Keash Excavation,,SERVICE,2023-01-20 00:00:00,1,857-231-1171,ROXBURY,MT PLEASANT AV,5
5,GRADE 1 LEAK,,10B,EMER-1323259,Days & Weekends,National Grid,,,2,67,,PLATES PINNED & BERMED,2023-01-15 00:00:00,,National Grid,,EMERGENCY,2023-01-15 00:00:00,1,877-304-1203,ROXBURY,KEMBLE ST,6
6,Grade 1 Gas Leak,,10B,EMER-1323270,Days & Weekends,National Grid,,,,2875,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-06 00:00:00,,National Grid,,EMERGENCY,2023-01-06 00:00:00,1,1-877-304 12,ROXBURY,WASHINGTON ST ,7
7,CONDUIT REPAIR,,10B,EXCA-1424787,Days & Weekends,Danella Line Co,,,,44,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Verizon,,MAINTENANCE,2023-02-08 00:00:00,1,800-446-8946,ROXBURY,JOHN ELIOT SQ,8
8,Grade 1 Gas Leak,,10B,EMER-1323269,Days & Weekends,National Grid,,,,2693,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-07 00:00:00,,National Grid,,EMERGENCY,2023-01-07 00:00:00,1,1-877-304 12,ROXBURY,WASHINGTON ST ,9
9,GAS LEAK REPAIR,,10B,EXCA-1428705,Days & Weekends,National Grid,,,,38,,PLATES PINNED & BERMED,2023-02-03 00:00:00,,National Grid,,MAINTENANCE,2023-02-03 00:00:00,1,877-304-1203,ROXBURY,COBDEN ST,10
10,Grade 1 Gas Leak,,10B,EMER-1323829,Days & Weekends,National Grid,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,WINTHROP ST,National Grid,,EMERGENCY,2023-01-12 00:00:00,1,1-877-304 12,ROXBURY,BLUE HILL AV,11
11,GAS LEAK REPAIR,,10B,EXCA-1428718,Days & Weekends,National Grid,,,,140,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-03 00:00:00,,National Grid,,MAINTENANCE,2023-02-03 00:00:00,1,877-304-1203,ROXBURY,WARREN ST,12
12,Grade 1 Gas Leak,,10B,EMER-1323839,Days & Weekends,National Grid,,,,67,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-12 00:00:00,1,1-877-304 12,ROXBURY,KEMBLE ST,13
